Tour Title,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024
Borghese Gallery and Museum: An Audio Tour with Context,0,0,0,0,0,1,3,6,29,28,8,18,22,23,10,12,14,4
Changing of the Guard Tour with Context,2,1,3,3,3,6,10,9,3,10,5,5,5,4,9,1,5,2
Paris‘ Left Bank Tour with Context: From Notre Dame to the Latin Quarter,0,3,0,0,4,14,10,1,4,17,11,16,11,9,4,7,18,2
The Roman Forum and the Palatine Hill with Context,0,0,1,17,29,18,19,17,28,37,44,41,34,14,1,4,4,0
History of Alexander Hamilton in New York: A Walking Tour with Context,0,0,0,1,1,0,1,2,5,2,2,7,3,10,5,4,6,2
Architecture of London with Context: A Tour of the Square Mile,5,1,13,7,6,6,12,6,8,8,3,7,10,7,6,4,3,0
Hidden Gems of Ancient Rome with Context,0,0,3,8,17,9,10,5,24,11,8,6,6,2,9,22,12,4
History of the Jewish Ghetto in Rome: A Walking Tour with Context,0,0,0,0,3,4,4,3,22,16,11,12,13,6,3,18,15,2
Mexico City's Historical Sights: A Walking Tour with Context,0,0,1,2,1,5,13,26,28,19,17,26,12,7,2,9,9,10
In and Around St. Mark‘s Square: A Walk with Context,0,0,0,2,7,5,3,8,10,14,11,21,11,12,15,18,21,7
Madrid Wine Tour with Context,0,0,0,0,3,5,0,3,1,2,2,4,1,1,1,2,2,0
Paris‘ Right Bank with Context: A Tour from the Louvre to the Arc de Triomphe,0,0,0,2,0,6,6,7,7,13,10,14,11,13,10,23,25,1
Parisian Picnic with Context: A Marais Food Tour,0,0,3,19,11,3,2,1,10,13,7,12,5,2,6,1,5,1
The Home of Classical Music: A Tour of Vienna with Context,0,0,0,2,1,5,6,1,4,5,4,14,6,11,4,6,8,1
War and Reconstruction: An Introduction to Vienna’s History with Context,0,0,0,0,0,0,1,3,2,6,10,9,9,8,14,14,13,1
In the footsteps of Van Gogh: An Arles Tour with Context,0,0,0,0,2,2,5,2,1,5,13,18,20,15,13,33,17,6
Occupation and Liberation with Context: A World War II Tour of Paris,0,0,0,0,3,12,4,6,11,24,12,24,28,16,18,10,15,5
Nazi History of Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
From Colonialism to Democracy: A Rio de Janeiro Tour with Context,0,0,0,0,2,1,0,1,0,3,1,2,1,0,0,0,2,0
The Evolution of New York City's Broadway: A Tour with Context,0,0,0,0,0,0,0,1,3,1,3,0,1,2,2,2,0,0
Architecture of Lisbon: A Historical Tour with Context,0,0,0,0,2,1,6,1,4,2,4,6,6,4,12,6,8,1
Roman and Medieval Lisbon: A Tour with Context,0,0,0,0,2,1,4,1,2,10,3,4,11,3,3,8,6,1
Paris’ Modern Art Mecca: A Montmartre Walking Tour with Context,0,0,0,0,2,6,13,4,7,16,8,12,9,6,9,11,10,2
Lisbon’s Iconic Tiles: A Walking Tour with Context,0,0,0,0,1,2,0,2,5,4,11,6,6,2,3,8,7,1
"Pizzas, Pastas and Piazzas: A Guide to Rome’s Culinary Culture with Context",0,0,0,0,0,1,1,2,5,0,0,0,12,3,2,7,0,0
Munich’s Beer Culture: A Walking Tour of its Biergartens with Context,0,0,0,0,0,3,0,0,0,5,1,3,0,0,4,1,1,1
The Remains of Roman London: A Walking Tour with Context,0,0,0,0,0,2,4,5,7,11,4,3,4,4,2,2,4,0
Kyoto Tea Quest: A Guide to Japanese Tea Culture with Context,0,0,0,0,0,0,1,1,1,5,4,7,6,2,0,4,2,2
Barcelona’s Architecture: A Guide to Art Nouveau and Gaudi  with Context,0,0,0,0,0,0,1,4,10,11,14,15,12,9,13,18,28,5
Architecture of the National Mall: An Audio Tour with Context,0,0,0,0,0,0,0,1,2,1,0,7,7,15,6,4,7,2
The Nasrid and Charles V Palaces: An Alhambra Audio Tour with Context,0,0,0,0,0,1,3,8,9,10,5,6,10,6,9,8,10,3
The History of the Jewish Ghetto in Florence: A Walking Tour with Context,0,0,0,0,0,3,0,4,7,5,10,6,6,9,11,4,6,2
History and Architecture: A Tokyo Walking Tour with Context,0,0,0,0,0,2,3,15,4,18,18,25,12,13,13,21,28,10
Tasty Traditions: A Venice Food Tour with Context,0,0,0,0,0,0,3,5,15,10,6,8,5,7,5,5,4,0
Catalan Culture with Context: A Guide to Barcelona’s Gràcia District,0,0,0,0,0,0,4,0,3,4,5,10,3,4,2,8,7,2
Los Palacios Nazaríes y Carlos V: Un Recorrido por la Alhambra en Context,0,0,0,0,0,0,0,13,0,0,0,0,1,1,1,0,0,0
Politics and Power: An Introduction to Florence with Context,0,0,0,0,0,0,0,3,3,14,12,15,13,6,6,11,15,5
The Royal Mile’s Side Streets and Stories: A Walking Tour with Context,0,0,0,0,0,0,0,1,2,2,5,15,11,12,10,19,12,1
Jewish History of Budapest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Eats and Treats: A Culinary Tour of London with Context,0,0,0,0,0,0,0,2,4,10,5,3,3,5,4,3,2,1
America‘s Oldest City: A St Augustine Walking Tour With Context,0,0,0,0,0,0,9,3,14,15,5,9,6,5,11,8,9,3
Chicago Walking Tour with Context,0,0,0,0,0,0,1,1,3,3,1,4,3,5,3,4,4,1
The French Revolution in Paris: A Walking Tour with Context,0,0,0,0,0,0,2,1,8,18,9,16,24,11,12,19,31,3
Vibrant Venice: A Walk through Rialto and San Polo with Context,0,0,0,0,0,0,0,0,1,0,1,0,2,3,6,13,16,4
Shakespeare’s London: A Walking Tour with Context,0,0,0,0,0,0,0,0,2,1,3,2,1,6,5,4,4,2
"The Rise, Fall, and Rediscovery of Pompeii: An Audio Guide with Context",0,0,0,0,0,0,3,8,12,19,36,45,50,47,34,54,54,5
New York City’s Glitzy Gilded Age: A Tour with Context ,0,0,0,0,0,0,0,1,1,0,1,1,1,6,1,3,15,1
Marais Through the Centuries: A Tour of Paris‘ Historical District with Context,0,0,0,0,0,1,3,7,11,19,11,17,15,6,6,5,11,2
"Rebels, Riots, and Revolution: A Colonial Boston Audio Tour with Context",0,0,0,0,0,0,1,0,1,0,0,0,5,3,1,2,3,0
Tales of the Old Town: A Madrid Walking Tour with Context,0,0,0,0,0,2,2,10,8,15,10,9,9,13,3,13,4,1
Iconic Prague Castle: A Walk around the Ancient Complex with Context,0,0,0,0,0,4,3,7,6,15,22,19,22,29,12,15,16,7
Elegant Salamanca and Chueca: A Guide to Madrid’s Posh Districts with Context ,0,0,0,0,0,0,0,0,0,1,2,4,7,4,3,5,8,1
Hemingway’s Paris: A Tour of His Life and Work with Context,0,0,0,0,0,0,3,0,2,4,5,12,7,6,3,8,6,1
Nero’s Rome: A Guide to the Infamous Emperor with Context,0,0,0,0,0,0,2,2,1,0,0,8,3,2,2,6,1,0
"Graffiti, Tags, and Murals: A Lisbon Street Art Tour with Context",0,0,0,0,0,0,0,1,2,2,2,4,5,1,4,4,4,3
Bilbao Tour with Context: From the Old Town to the Guggenheim Museum,0,0,0,0,0,0,0,0,0,1,3,7,15,14,15,18,21,4
Acropolis of Athens Audio Guide: A Tour with Context,0,0,0,0,0,0,1,1,7,14,37,56,45,34,42,49,46,16
Como with Context: A Guide to the Old Town and its Breathtaking Lakeside,0,0,0,0,0,0,1,3,3,5,2,14,8,7,8,6,8,1
Florentine Parks and Palaces: Palazzo Pitti and Boboli Gardens,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
Fine Food in Florence: A Walking Tour with Context,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,9,0
Milan Fashion Tour: A Guide to Quadrilatero della Moda with Context,0,0,0,0,0,0,1,0,2,2,0,2,7,6,6,11,3,2
The Architecture of La Condesa: A Mexico City Tour with Context,0,0,0,0,0,0,1,1,0,0,6,24,8,6,3,3,6,6
Introduction to Prague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
La Roma Culinary Quest with Context: A Guide to Dining in Mexico City,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1
Art and Architecture: A Porto Walking Tour with Context,0,0,0,0,0,0,0,0,0,1,0,2,2,14,24,37,23,7
From Obscurity to Prosperity: An Introduction to Buenos Aires with Context,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4,3
Castel Sant'Angelo with Context: An Audio Guide of Hadrian’s Mausoleum,0,0,0,0,0,0,0,0,1,7,15,17,19,17,15,28,32,12
The World’s Largest Church: A St Peter’s Basilica Audio Tour with Context,0,0,0,0,0,0,0,0,2,14,2,4,15,11,4,23,14,0
The Vatican Museums Audio Tour with Context: A Guide to the Treasures Within,0,0,0,0,0,0,0,0,3,20,17,25,21,32,22,44,32,4
From Feudal to Formidable: A Tour of Kyoto’s Architecture with Context,0,0,0,0,0,0,0,0,0,2,0,2,5,8,3,6,11,3
Power and Politics: An Amsterdam Audio Tour with Context,0,0,0,0,0,0,0,0,0,0,1,1,0,3,20,14,18,4
The Shades of Old Milan: A Navigli Walking Tour with Context,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1
Sforza Castle’s Golden Age: An Audio Tour with Context,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,2
Downtown Athens with Context: From Syntagma Square to the Acropolis Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,8,7
Bridging Florence's History,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bavarian Food in Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Kyoto Romantic Afternoon River Walk, with Gion & Pontochyo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
An Independent Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Copenhagen with Context: An Introduction to the City’s Bustling Center,0,0,0,0,0,0,0,0,0,0,0,0,2,3,12,7,8,1
Best Sightseeing of San Sebastian: Tour of Walking History,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rome’s Colosseum with Context: A Guide to its Games, Architecture, and History",0,0,0,0,0,0,0,0,0,0,0,1,2,35,83,86,96,22
Introduction to Malaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Roman Forum and the Palatine Hill with Context: An Audio Tour,0,0,0,0,0,0,0,0,0,0,0,1,1,1,36,39,29,13
French Capital of the Americas: An Old Montréal Walking Tour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2
Introduction to Naples,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Herculaneum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
American Museum of Natural History: An Audio Guide with Context,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Pop Culture in Tokyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dutch Delights and More in Amsterdam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Total,7,5,24,63,100,131,185,226,380,550,490,720,660,619,657,885,930,235
